c[80]=0, mask=4294967295
c[112]=0, mask=4294967295
c[144]=0, mask=4294967295
c[176]=0, mask=4294967295
c[208]=0, mask=4294967295
c[240]=0, mask=4294967295
c[272]=0, mask=4294967295
c[304]=0, mask=4294967295
c[336]=0, mask=4294967295
c[368]=0, mask=4294967295
c[400]=0, mask=4294967295
c[17]=0, mask=4294967295
c[49]=0, mask=4294967295
c[81]=0, mask=4294967295
c[113]=0, mask=4294967295
c[145]=0, mask=4294967295
c[177]=0, mask=4294967295
c[209]=0, mask=4294967295
c[241]=0, mask=4294967295
c[273]=0, mask=4294967295
c[305]=0, mask=4294967295
c[337]=0, mask=4294967295
c[369]=0, mask=4294967295
c[401]=0, mask=4294967295
c[18]=0, mask=4294967295
c[50]=0, mask=4294967295
c[82]=0, mask=4294967295
c[114]=0, mask=4294967295
c[146]=0, mask=4294967295
c[178]=0, mask=4294967295
c[210]=0, mask=4294967295
c[242]=0, mask=4294967295
c[274]=0, mask=4294967295
c[306]=0, mask=4294967295
c[338]=0, mask=4294967295
c[370]=16, mask=4294967295
c[402]=0, mask=4294967295
c[19]=0, mask=4294967295
c[51]=0, mask=4294967295
c[83]=0, mask=4294967295
c[115]=0, mask=4294967295
c[147]=0, mask=4294967295
c[179]=0, mask=4294967295
c[211]=0, mask=4294967295
c[243]=0, mask=4294967295
c[275]=0, mask=4294967295
c[307]=0, mask=4294967295
c[339]=0, mask=4294967295
c[371]=0, mask=4294967295
c[403]=1, mask=4294967295
c[20]=0, mask=4294967295
c[52]=0, mask=4294967295
c[84]=0, mask=4294967295
c[116]=0, mask=4294967295
c[148]=0, mask=4294967295
c[180]=0, mask=4294967295
c[212]=0, mask=4294967295
c[244]=0, mask=4294967295
c[276]=0, mask=4294967295
c[308]=0, mask=4294967295
c[340]=0, mask=4294967295
c[372]=0, mask=4294967295
c[404]=1, mask=4294967295
c[21]=0, mask=4294967295
c[53]=0, mask=4294967295
c[85]=0, mask=4294967295
c[117]=0, mask=4294967295
c[149]=0, mask=4294967295
c[181]=0, mask=4294967295
c[213]=0, mask=4294967295
c[245]=0, mask=4294967295
c[277]=0, mask=4294967295
c[309]=0, mask=4294967295
c[341]=0, mask=4294967295
c[373]=0, mask=4294967295
c[405]=1, mask=4294967295
c[22]=0, mask=4294967295
c[54]=0, mask=4294967295
c[86]=0, mask=4294967295
c[118]=0, mask=4294967295
c[150]=0, mask=4294967295
c[182]=0, mask=4294967295
c[214]=0, mask=4294967295
c[246]=0, mask=4294967295
c[278]=0, mask=4294967295
c[310]=1, mask=4294967295
c[342]=0, mask=4294967295
c[374]=0, mask=4294967295
c[406]=1, mask=4294967295
c[23]=0, mask=4294967295
c[55]=0, mask=4294967295
c[87]=0, mask=4294967295
c[119]=0, mask=4294967295
c[151]=0, mask=4294967295
c[183]=0, mask=4294967295
c[215]=0, mask=4294967295
c[247]=0, mask=4294967295
c[279]=0, mask=4294967295
c[311]=1, mask=4294967295
c[343]=0, mask=4294967295
c[375]=0, mask=4294967295
c[407]=1, mask=4294967295
c[24]=0, mask=4294967295
c[56]=0, mask=4294967295
c[88]=0, mask=4294967295
c[120]=0, mask=4294967295
c[152]=0, mask=4294967295
c[184]=0, mask=4294967295
c[216]=0, mask=4294967295
c[248]=1, mask=4294967295
c[280]=0, mask=4294967295
c[312]=2, mask=4294967295
c[344]=0, mask=4294967295
c[376]=0, mask=4294967295
c[408]=0, mask=4294967295
c[25]=1, mask=4294967295
c[57]=0, mask=4294967295
c[89]=0, mask=4294967295
c[121]=0, mask=4294967295
c[153]=0, mask=4294967295
c[185]=0, mask=4294967295
c[217]=0, mask=4294967295
c[249]=2, mask=4294967295
c[281]=0, mask=4294967295
c[313]=0, mask=4294967295
c[345]=0, mask=4294967295
c[377]=0, mask=4294967295
c[409]=0, mask=4294967295
c[26]=1, mask=4294967295
c[58]=0, mask=4294967295
c[90]=0, mask=4294967295
c[122]=0, mask=4294967295
c[154]=0, mask=4294967295
c[186]=0, mask=4294967295
c[218]=0, mask=4294967295
c[250]=0, mask=4294967295
c[282]=0, mask=4294967295
c[314]=0, mask=4294967295
c[346]=0, mask=4294967295
c[378]=0, mask=4294967295
c[410]=0, mask=4294967295
c[27]=1, mask=4294967295
c[59]=0, mask=4294967295
c[91]=0, mask=4294967295
c[123]=0, mask=4294967295
c[155]=0, mask=4294967295
c[187]=0, mask=4294967295
c[219]=0, mask=4294967295
c[251]=0, mask=4294967295
c[283]=0, mask=4294967295
c[315]=0, mask=4294967295
c[347]=0, mask=4294967295
c[379]=0, mask=4294967295
c[411]=0, mask=4294967295
c[28]=2, mask=4294967295
c[60]=0, mask=4294967295
c[92]=0, mask=4294967295
c[124]=0, mask=4294967295
c[156]=0, mask=4294967295
c[188]=0, mask=4294967295
c[220]=0, mask=4294967295
c[252]=0, mask=4294967295
c[284]=0, mask=4294967295
c[316]=0, mask=4294967295
c[348]=0, mask=4294967295
c[380]=0, mask=4294967295
c[412]=0, mask=4294967295
c[29]=1, mask=4294967295
c[61]=0, mask=4294967295
c[93]=0, mask=4294967295
c[125]=0, mask=4294967295
c[157]=0, mask=4294967295
c[189]=0, mask=4294967295
c[221]=0, mask=4294967295
c[253]=0, mask=4294967295
c[285]=0, mask=4294967295
c[317]=0, mask=4294967295
c[349]=0, mask=4294967295
c[381]=0, mask=4294967295
c[413]=0, mask=4294967295
c[30]=1, mask=4294967295
c[62]=0, mask=4294967295
c[94]=0, mask=4294967295
c[126]=0, mask=4294967295
c[158]=0, mask=4294967295
c[190]=0, mask=4294967295
c[222]=0, mask=4294967295
c[254]=0, mask=4294967295
c[286]=0, mask=4294967295
c[318]=0, mask=4294967295
c[350]=0, mask=4294967295
c[382]=0, mask=4294967295
c[414]=0, mask=4294967295
c[31]=1, mask=4294967295
c[63]=0, mask=4294967295
c[95]=0, mask=4294967295
c[127]=0, mask=4294967295
c[159]=0, mask=4294967295
c[191]=0, mask=4294967295
c[223]=0, mask=4294967295
c[255]=0, mask=4294967295
c[287]=0, mask=4294967295
c[319]=0, mask=4294967295
c[351]=0, mask=4294967295
c[383]=0, mask=4294967295
c[415]=0, mask=4294967295
